,Hex,Red,Green,Blue,Hue,Saturation,Value,Label
110,#8A2BE2,0.5411764705882353,0.16862745098039217,0.8862745098039215,0.5087262032186416,0.8097345132743362,0.8862745098039215,8
111,#5072A7,0.3137254901960784,0.44705882352941173,0.6549019607843137,0.10068224497635359,0.5209580838323353,0.6549019607843137,86
112,#4F86F7,0.30980392156862746,0.5254901960784314,0.9686274509803922,0.116977778440511,0.680161943319838,0.9686274509803922,12
113,#1C1CF0,0.10980392156862745,0.10980392156862745,0.9411764705882353,0.24999999999999978,0.8833333333333333,0.9411764705882353,43
114,#DE5D83,0.8705882352941177,0.36470588235294116,0.5137254901960784,0.9755282581475768,0.581081081081081,0.8705882352941177,26
115,#79443B,0.4745098039215686,0.26666666666666666,0.23137254901960785,0.9938441702975689,0.512396694214876,0.4745098039215686,90
116,#0095B6,0.0,0.5843137254901961,0.7137254901960784,0.009186408276168012,1.0,0.7137254901960784,40
117,#E3DAC9,0.8901960784313725,0.8549019607843137,0.788235294117647,0.8885729807284855,0.11453744493392068,0.8901960784313725,7
118,#DDE26A,0.8666666666666667,0.8862745098039215,0.4156862745098039,0.7269952498697734,0.5309734513274336,0.8862745098039215,47
119,#CC0000,0.8,0.0,0.0,1.0,1.0,0.8,70
120,#006A4E,0.0,0.4156862745098039,0.3058823529411765,0.019369152030840553,1.0,0.41568627450980394,76
121,#873260,0.5294117647058824,0.19607843137254902,0.3764705882352941,0.9240240480782129,0.6296296296296297,0.5294117647058824,78
122,#0070FF,0.0,0.4392156862745098,1.0,0.08548121372247913,1.0,1.0,46
123,#B5A642,0.7098039215686275,0.6509803921568628,0.2588235294117647,0.8078307376628291,0.6353591160220994,0.7098039215686275,4
124,#CB4154,0.796078431372549,0.2549019607843137,0.32941176470588235,0.9951340343707851,0.6798029556650247,0.7960784313725491,39
125,#1DACD6,0.11372549019607843,0.6745098039215687,0.8392156862745098,0.014852136862001764,0.8644859813084113,0.8392156862745098,54
126,#66FF00,0.4,1.0,0.0,0.44773576836617324,1.0,1.0,66
127,#BF94E4,0.7490196078431373,0.580392156862745,0.8941176470588235,0.5174497483512507,0.3508771929824561,0.8941176470588237,14
128,#D891EF,0.8470588235294118,0.5686274509803921,0.9372549019607843,0.6294095225512601,0.39330543933054396,0.9372549019607843,14
129,#C32148,0.7647058823529411,0.12941176470588234,0.2823529411764706,0.9851478631379982,0.8307692307692308,0.7647058823529411,27
130,#1974D2,0.09803921568627451,0.4549019607843137,0.8235294117647058,0.0669872981077807,0.8809523809523809,0.8235294117647058,40
131,#FF007F,1.0,0.0,0.4980392156862745,0.9330127018922192,1.0,1.0,62
132,#08E8DE,0.03137254901960784,0.9098039215686274,0.8705882352941177,0.0006852326227130834,0.9655172413793104,0.9098039215686275,25
133,#D19FE8,0.8196078431372549,0.6235294117647059,0.9098039215686274,0.5954044976882725,0.3146551724137931,0.9098039215686275,14
134,#FFAA1D,1.0,0.6666666666666666,0.11372549019607843,0.8993177550236464,0.8862745098039215,1.0,41
135,#3399FF,0.2,0.6,1.0,0.0669872981077807,0.8,1.0,12
136,#F4BBFF,0.9568627450980391,0.7333333333333333,1.0,0.6710100716628344,0.2666666666666667,1.0,73
137,#FF55A3,1.0,0.3333333333333333,0.6392156862745098,0.9414737964294635,0.6666666666666667,1.0,26
138,#FB607F,0.984313725490196,0.3764705882352941,0.4980392156862745,0.9890738003669028,0.6175298804780877,0.984313725490196,26
139,#004225,0.0,0.2588235294117647,0.14509803921568626,0.05060297685041648,1.0,0.25882352941176473,9
140,#CD7F32,0.803921568627451,0.4980392156862745,0.19607843137254902,0.9330127018922194,0.7560975609756098,0.803921568627451,28
141,#737000,0.45098039215686275,0.4392156862745098,0.0,0.7649596321166025,1.0,0.4509803921568628,63
142,#964B00,0.5882352941176471,0.29411764705882354,0.0,0.9330127018922194,1.0,0.5882352941176471,15
143,#A52A2A,0.6470588235294118,0.16470588235294117,0.16470588235294117,1.0,0.7454545454545455,0.6470588235294118,2
144,#6B4423,0.4196078431372549,0.26666666666666666,0.13725490196078433,0.9414737964294635,0.6728971962616822,0.4196078431372549,15
145,#AF6E4D,0.6862745098039216,0.43137254901960786,0.30196078431372547,0.9698463103929542,0.56,0.6862745098039216,74
146,#cc9966,0.8,0.6,0.4,0.9330127018922194,0.5,0.8,29
147,#1B4D3E,0.10588235294117647,0.30196078431372547,0.24313725490196078,0.024471741852423234,0.6493506493506493,0.30196078431372547,9
148,#FFC1CC,1.0,0.7568627450980392,0.8,0.990813591723832,0.2431372549019608,1.0,84
149,#E7FEFF,0.9058823529411765,0.996078431372549,1.0,0.0006852326227130834,0.09411764705882353,1.0,34
150,#7BB661,0.4823529411764706,0.7137254901960784,0.3803921568627451,0.3960441545911203,0.4670329670329671,0.7137254901960784,16
151,#F0DC82,0.9411764705882353,0.8627450980392157,0.5098039215686274,0.8280295144952536,0.45833333333333337,0.9411764705882353,55
152,#480607,0.2823529411764706,0.023529411764705882,0.027450980392156862,0.9999238475781956,0.9166666666666666,0.2823529411764706,21
153,#800020,0.5019607843137255,0.0,0.12549019607843137,0.9829629131445341,1.0,0.5019607843137255,58
154,#DEB887,0.8705882352941177,0.7215686274509804,0.5294117647058824,0.9145187862775208,0.3918918918918919,0.8705882352941177,61
155,#A17A74,0.6313725490196078,0.4784313725490196,0.4549019607843137,0.9951340343707852,0.2795031055900621,0.6313725490196078,38
156,#CC5500,0.8,0.3333333333333333,0.0,0.953153893518325,1.0,0.8,28
157,#E97451,0.9137254901960784,0.4549019607843137,0.3176470588235294,0.9851478631379982,0.6523605150214593,0.9137254901960785,19
