,Hex,Red,Green,Blue,Label
0,#0048BA,0.0,0.2823529411764706,0.7294117647058823,48
1,#B0BF1A,0.6901960784313725,0.7490196078431373,0.10196078431372549,134
2,#7CB9E8,0.48627450980392156,0.7254901960784313,0.9098039215686274,56
3,#C9FFE5,0.788235294117647,1.0,0.8980392156862745,20
4,#B284BE,0.6980392156862745,0.5176470588235293,0.7450980392156863,0
5,#5D8AA8,0.36470588235294116,0.5411764705882353,0.6588235294117647,139
6,#00308F,0.0,0.18823529411764706,0.5607843137254902,152
7,#72A0C1,0.44705882352941173,0.6274509803921569,0.7568627450980392,21
8,#AF002A,0.6862745098039216,0.0,0.16470588235294117,67
9,#F2F0E6,0.9490196078431372,0.9411764705882353,0.9019607843137255,86
10,#F0F8FF,0.9411764705882353,0.9725490196078431,1.0,20
11,#84DE02,0.5176470588235293,0.8705882352941177,0.00784313725490196,38
12,#E32636,0.8901960784313725,0.14901960784313725,0.21176470588235294,102
13,#C46210,0.7686274509803921,0.38431372549019605,0.06274509803921569,15
14,#EFDECD,0.9372549019607843,0.8705882352941177,0.803921568627451,171
15,#E52B50,0.8980392156862745,0.16862745098039217,0.3137254901960784,102
16,#9F2B68,0.6235294117647059,0.16862745098039217,0.40784313725490196,41
17,#F19CBB,0.9450980392156862,0.611764705882353,0.7333333333333333,14
18,#AB274F,0.6705882352941176,0.15294117647058825,0.30980392156862746,60
19,#D3212D,0.8274509803921568,0.12941176470588234,0.1764705882352941,125
20,#3B7A57,0.23137254901960785,0.4784313725490196,0.3411764705882353,85
21,#00C4B0,0.0,0.7686274509803921,0.6901960784313725,43
22,#FFBF00,1.0,0.7490196078431373,0.0,4
23,#FF7E00,1.0,0.49411764705882355,0.0,47
24,#FF033E,1.0,0.011764705882352941,0.24313725490196078,19
25,#9966CC,0.6,0.4,0.8,145
26,#A4C639,0.6431372549019607,0.7764705882352941,0.22352941176470587,134
27,#F2F3F4,0.9490196078431372,0.9529411764705882,0.9568627450980391,86
28,#CD9575,0.803921568627451,0.5843137254901961,0.4588235294117647,147
29,#665D1E,0.4,0.36470588235294116,0.11764705882352941,23
30,#915C83,0.5686274509803921,0.3607843137254902,0.5137254901960784,80
31,#841B2D,0.5176470588235293,0.10588235294117647,0.1764705882352941,163
32,#FAEBD7,0.9803921568627451,0.9215686274509803,0.8431372549019608,53
33,#008000,0.0,0.5019607843137255,0.0,166
34,#8DB600,0.5529411764705883,0.7137254901960784,0.0,38
35,#FBCEB1,0.984313725490196,0.807843137254902,0.6941176470588235,3
36,#00FFFF,0.0,1.0,1.0,42
37,#7FFFD4,0.4980392156862745,1.0,0.8313725490196078,88
38,#D0FF14,0.8156862745098039,1.0,0.0784313725490196,34
39,#4B5320,0.29411764705882354,0.3254901960784314,0.12549019607843137,107
40,#3B444B,0.23137254901960785,0.26666666666666666,0.29411764705882354,6
41,#8F9779,0.5607843137254902,0.592156862745098,0.4745098039215686,94
42,#E9D66B,0.9137254901960784,0.8392156862745098,0.4196078431372549,174
43,#B2BEB5,0.6980392156862745,0.7450980392156863,0.7098039215686275,35
44,#87A96B,0.5294117647058824,0.6627450980392157,0.4196078431372549,73
45,#FF9966,1.0,0.6,0.4,33
46,#A52A2A,0.6470588235294118,0.16470588235294117,0.16470588235294117,91
47,#FDEE00,0.9921568627450981,0.9333333333333333,0.0,168
48,#6E7F80,0.43137254901960786,0.4980392156862745,0.5019607843137255,29
49,#568203,0.33725490196078434,0.5098039215686274,0.011764705882352941,164
50,#FF2052,1.0,0.12549019607843137,0.32156862745098036,102
51,#C39953,0.7647058823529411,0.6,0.3254901960784314,147
52,#007FFF,0.0,0.4980392156862745,1.0,84
53,#F0FFFF,0.9411764705882353,1.0,1.0,20
54,#F0FFFF,0.9411764705882353,1.0,1.0,20
55,#DBE9F4,0.8588235294117647,0.9137254901960784,0.9568627450980391,20
56,#89CFF0,0.5372549019607843,0.8117647058823529,0.9411764705882353,97
57,#A1CAF1,0.6313725490196078,0.792156862745098,0.9450980392156862,100
58,#F4C2C2,0.9568627450980391,0.7607843137254902,0.7607843137254902,141
59,#FEFEFA,0.996078431372549,0.996078431372549,0.9803921568627451,86
60,#FF91AF,1.0,0.5686274509803921,0.6862745098039216,14
61,#21ABCD,0.12941176470588234,0.6705882352941176,0.803921568627451,106
62,#FAE7B5,0.9803921568627451,0.9058823529411765,0.7098039215686275,3
63,#FFE135,1.0,0.8823529411764706,0.20784313725490194,105
64,#006A4E,0.0,0.4156862745098039,0.3058823529411765,177
65,#E0218A,0.8784313725490196,0.12941176470588234,0.5411764705882353,176
66,#7C0A02,0.48627450980392156,0.0392156862745098,0.00784313725490196,110
67,#1DACD6,0.11372549019607843,0.6745098039215687,0.8392156862745098,106
68,#848482,0.5176470588235293,0.5176470588235293,0.5098039215686274,94
69,#98777B,0.596078431372549,0.4666666666666667,0.4823529411764706,94
